RowNumber,RowTotal,Symbol,StockName,NoOfTransaction,High,Low,Close,Difference,TradedShares,TradedAmount,PreviousClosing,PercentDifference,TotalQuantity,TotalTransaction,TotalAmount,Date,Open
1,1,NABIL,Nabil Bank Limited,1030,1010.1,995.0,997.0,-5.0,42507.0,42413438.7,1002.0,-0.5,"54,866,590","520,698","71,002,112,381.10",2022-04-03,1010.1
2,1,NABIL,Nabil Bank Limited,1179,1019.9,1000.0,1002.0,-4.0,62677.0,63023552.6,1006.0,-0.4,"54,866,590","520,698","71,002,112,381.10",2022-03-31,1015.0
3,1,NABIL,Nabil Bank Limited,1972,1006.0,993.0,1006.0,-3.0,101034.0,100998632.8,1009.0,-0.3,"54,866,590","520,698","71,002,112,381.10",2022-03-30,995.0
4,1,NABIL,Nabil Bank Limited,754,1030.0,1000.1,1009.0,-8.0,53395.0,53898812.7,1017.0,-0.79,"54,866,590","520,698","71,002,112,381.10",2022-03-29,1000.1
5,1,NABIL,Nabil Bank Limited,636,1029.0,1010.0,1017.0,-3.0,36394.0,36969032.9,1020.0,-0.29,"54,866,590","520,698","71,002,112,381.10",2022-03-28,1029.0
6,1,NABIL,Nabil Bank Limited,781,1055.0,1017.0,1020.0,-20.0,37321.0,38257052.8,1040.0,-1.92,"54,866,590","520,698","71,002,112,381.10",2022-03-27,1055.0
7,1,NABIL,Nabil Bank Limited,584,1057.0,1036.0,1040.0,-7.0,34482.0,35845312.4,1047.0,-0.67,"54,866,590","520,698","71,002,112,381.10",2022-03-24,1057.0
8,1,NABIL,Nabil Bank Limited,465,1060.0,1043.0,1047.0,-3.0,29498.0,30904783.0,1050.0,-0.29,"54,866,590","520,698","71,002,112,381.10",2022-03-23,1060.0
9,1,NABIL,Nabil Bank Limited,628,1065.0,1048.1,1050.0,-2.0,35572.0,37554211.7,1052.0,-0.19,"54,866,590","520,698","71,002,112,381.10",2022-03-22,1060.0
10,1,NABIL,Nabil Bank Limited,562,1075.0,1046.0,1052.0,-8.0,32178.0,33802164.9,1060.0,-0.75,"54,866,590","520,698","71,002,112,381.10",2022-03-21,1075.0
11,1,NABIL,Nabil Bank Limited,548,1080.0,1055.3,1060.0,-4.0,28034.0,29827949.8,1064.0,-0.38,"54,866,590","520,698","71,002,112,381.10",2022-03-20,1080.0
