RowNumber,RowTotal,Symbol,StockName,NoOfTransaction,High,Low,Close,Difference,TradedShares,TradedAmount,PreviousClosing,PercentDifference,TotalQuantity,TotalTransaction,TotalAmount,Date
1,1,CIT,Citizen Investment Trust,148,3147.0,3100.0,3104.0,-16.0,5041.00,15667492.40,3120.0,-0.51,"9,115,585","181,765","32,175,674,793.20",2022-03-29
2,1,CIT,Citizen Investment Trust,179,3170.0,3100.0,3120.0,-26.0,9477.00,29568178.10,3146.0,-0.83,"9,115,585","181,765","32,175,674,793.20",2022-03-28
3,1,CIT,Citizen Investment Trust,216,3190.0,3141.0,3146.0,-24.0,12486.00,39373915.80,3170.0,-0.76,"9,115,585","181,765","32,175,674,793.20",2022-03-27
4,1,CIT,Citizen Investment Trust,215,3248.9,3170.0,3170.0,-65.0,7828.00,25100963.00,3235.0,-2.01,"9,115,585","181,765","32,175,674,793.20",2022-03-24
5,1,CIT,Citizen Investment Trust,197,3297.0,3230.0,3235.0,-34.0,8526.00,27780430.60,3269.0,-1.04,"9,115,585","181,765","32,175,674,793.20",2022-03-23
6,1,CIT,Citizen Investment Trust,221,3290.0,3220.0,3269.0,49.0,8342.00,27152851.10,3220.0,1.52,"9,115,585","181,765","32,175,674,793.20",2022-03-22
7,1,CIT,Citizen Investment Trust,212,3240.0,3180.0,3220.0,30.0,8568.00,27586099.20,3190.0,0.94,"9,115,585","181,765","32,175,674,793.20",2022-03-21
8,1,CIT,Citizen Investment Trust,172,3225.0,3172.0,3190.0,22.0,6053.00,19325801.80,3168.0,0.69,"9,115,585","181,765","32,175,674,793.20",2022-03-20
9,1,CIT,Citizen Investment Trust,241,3190.0,3111.0,3168.0,11.0,20903.00,65719703.70,3157.0,0.35,"9,115,585","181,765","32,175,674,793.20",2022-03-16
10,1,CIT,Citizen Investment Trust,183,3196.0,3125.0,3157.0,-3.0,10816.00,34058972.00,3160.0,-0.09,"9,115,585","181,765","32,175,674,793.20",2022-03-15
11,1,CIT,Citizen Investment Trust,84,3190.0,3105.0,3160.0,0.0,4306.00,13620360.00,3160.0,0.0,"9,115,585","181,765","32,175,674,793.20",2022-03-14
12,1,CIT,Citizen Investment Trust,347,3180.0,3055.0,3160.0,132.0,15683.00,49092119.60,3028.0,4.36,"9,115,585","181,765","32,175,674,793.20",2022-03-13
13,1,CIT,Citizen Investment Trust,207,3030.0,2915.0,3028.0,79.1,8022.00,23986649.20,2948.9,2.68,"9,115,585","181,765","32,175,674,793.20",2022-03-10
14,1,CIT,Citizen Investment Trust,159,3000.0,2930.0,2948.9,-20.1,5443.00,16060226.80,2969.0,-0.68,"9,115,585","181,765","32,175,674,793.20",2022-03-09
15,1,CIT,Citizen Investment Trust,208,3014.0,2950.0,2969.0,-14.0,5408.00,16104560.40,2983.0,-0.47,"9,115,585","181,765","32,175,674,793.20",2022-03-07
16,1,CIT,Citizen Investment Trust,233,3040.0,2950.0,2983.0,-7.0,6277.00,18749454.60,2990.0,-0.23,"9,115,585","181,765","32,175,674,793.20",2022-03-06
17,1,CIT,Citizen Investment Trust,254,3050.0,2980.0,2990.0,-48.0,8359.00,25039130.90,3038.0,-1.58,"9,115,585","181,765","32,175,674,793.20",2022-03-02
18,1,CIT,Citizen Investment Trust,215,3130.0,3029.0,3038.0,-52.0,5943.00,18223082.30,3090.0,-1.68,"9,115,585","181,765","32,175,674,793.20",2022-02-28
19,1,CIT,Citizen Investment Trust,163,3150.0,3075.0,3090.0,-13.0,6883.00,21320391.30,3103.0,-0.42,"9,115,585","181,765","32,175,674,793.20",2022-02-27
20,1,CIT,Citizen Investment Trust,350,3190.0,3100.0,3103.0,-85.1,11164.00,34879752.40,3188.1,-2.67,"9,115,585","181,765","32,175,674,793.20",2022-02-24
21,1,CIT,Citizen Investment Trust,94,3222.0,3171.0,3188.1,-1.9,3207.00,10232862.90,3190.0,-0.06,"9,115,585","181,765","32,175,674,793.20",2022-02-23
22,1,CIT,Citizen Investment Trust,164,3225.0,3180.0,3190.0,0.0,4644.00,14903863.40,3190.0,0.0,"9,115,585","181,765","32,175,674,793.20",2022-02-22
23,1,CIT,Citizen Investment Trust,132,3190.0,3150.0,3190.0,40.0,4273.00,13548470.20,3150.0,1.27,"9,115,585","181,765","32,175,674,793.20",2022-02-21
