RowNumber,RowTotal,Symbol,StockName,NoOfTransaction,High,Low,Close,Difference,TradedShares,TradedAmount,PreviousClosing,PercentDifference,TotalQuantity,TotalTransaction,TotalAmount,Date
1,1,NABIL,Nabil Bank Limited,754,1030.0,1000.1,1009.0,-8.0,53395.00,53898812.70,1017.0,-0.79,"54,660,372","516,517","70,795,676,757.00",2022-03-29
2,1,NABIL,Nabil Bank Limited,636,1029.0,1010.0,1017.0,-3.0,36394.00,36969032.90,1020.0,-0.29,"54,660,372","516,517","70,795,676,757.00",2022-03-28
3,1,NABIL,Nabil Bank Limited,781,1055.0,1017.0,1020.0,-20.0,37321.00,38257052.80,1040.0,-1.92,"54,660,372","516,517","70,795,676,757.00",2022-03-27
4,1,NABIL,Nabil Bank Limited,584,1057.0,1036.0,1040.0,-7.0,34482.00,35845312.40,1047.0,-0.67,"54,660,372","516,517","70,795,676,757.00",2022-03-24
5,1,NABIL,Nabil Bank Limited,465,1060.0,1043.0,1047.0,-3.0,29498.00,30904783.00,1050.0,-0.29,"54,660,372","516,517","70,795,676,757.00",2022-03-23
6,1,NABIL,Nabil Bank Limited,628,1065.0,1048.1,1050.0,-2.0,35572.00,37554211.70,1052.0,-0.19,"54,660,372","516,517","70,795,676,757.00",2022-03-22
7,1,NABIL,Nabil Bank Limited,562,1075.0,1046.0,1052.0,-8.0,32178.00,33802164.90,1060.0,-0.75,"54,660,372","516,517","70,795,676,757.00",2022-03-21
8,1,NABIL,Nabil Bank Limited,548,1080.0,1055.3,1060.0,-4.0,28034.00,29827949.80,1064.0,-0.38,"54,660,372","516,517","70,795,676,757.00",2022-03-20
9,1,NABIL,Nabil Bank Limited,494,1089.0,1060.0,1064.0,-15.0,25272.00,27019937.40,1079.0,-1.39,"54,660,372","516,517","70,795,676,757.00",2022-03-16
10,1,NABIL,Nabil Bank Limited,707,1100.0,1075.0,1079.0,-13.0,44505.00,48101759.80,1092.0,-1.19,"54,660,372","516,517","70,795,676,757.00",2022-03-15
11,1,NABIL,Nabil Bank Limited,480,1100.5,1081.0,1092.0,13.0,23711.00,25904097.40,1079.0,1.2,"54,660,372","516,517","70,795,676,757.00",2022-03-14
12,1,NABIL,Nabil Bank Limited,1119,1080.0,1034.0,1079.0,61.0,57510.00,60721142.40,1018.0,5.99,"54,660,372","516,517","70,795,676,757.00",2022-03-13
13,1,NABIL,Nabil Bank Limited,676,1018.0,988.7,1018.0,10.1,31958.00,32299087.50,1007.9,1.0,"54,660,372","516,517","70,795,676,757.00",2022-03-10
14,1,NABIL,Nabil Bank Limited,789,1020.0,1006.0,1007.9,-4.0,35691.00,36048709.90,1011.9,-0.4,"54,660,372","516,517","70,795,676,757.00",2022-03-09
15,1,NABIL,Nabil Bank Limited,1027,1012.0,1000.0,1011.9,9.0,47036.00,47341531.00,1002.9,0.9,"54,660,372","516,517","70,795,676,757.00",2022-03-07
16,1,NABIL,Nabil Bank Limited,1415,1020.0,985.9,1002.9,-3.1,64365.00,64436543.50,1006.0,-0.31,"54,660,372","516,517","70,795,676,757.00",2022-03-06
17,1,NABIL,Nabil Bank Limited,1548,1048.0,1000.0,1006.0,-34.0,74636.00,75609425.50,1040.0,-3.27,"54,660,372","516,517","70,795,676,757.00",2022-03-02
18,1,NABIL,Nabil Bank Limited,811,1059.0,1037.0,1040.0,-1.0,45316.00,47302325.40,1041.0,-0.1,"54,660,372","516,517","70,795,676,757.00",2022-02-28
19,1,NABIL,Nabil Bank Limited,966,1051.0,1040.0,1041.0,-10.0,43253.00,45196711.70,1051.0,-0.95,"54,660,372","516,517","70,795,676,757.00",2022-02-27
20,1,NABIL,Nabil Bank Limited,1372,1067.0,1048.0,1051.0,-16.5,72385.00,76104471.70,1067.5,-1.55,"54,660,372","516,517","70,795,676,757.00",2022-02-24
21,1,NABIL,Nabil Bank Limited,612,1085.0,1065.0,1067.5,-3.0,29641.00,31684313.20,1070.5,-0.28,"54,660,372","516,517","70,795,676,757.00",2022-02-23
22,1,NABIL,Nabil Bank Limited,719,1080.0,1069.0,1070.5,3.5,41743.00,44701700.40,1067.0,0.33,"54,660,372","516,517","70,795,676,757.00",2022-02-22
23,1,NABIL,Nabil Bank Limited,804,1073.0,1063.0,1067.0,5.0,39297.00,41953268.00,1062.0,0.47,"54,660,372","516,517","70,795,676,757.00",2022-02-21
24,1,NABIL,Nabil Bank Limited,1188,1075.0,1045.0,1062.0,-17.0,61489.00,65233093.30,1079.0,-1.58,"54,660,372","516,517","70,795,676,757.00",2022-02-20
25,1,NABIL,Nabil Bank Limited,686,1094.0,1070.0,1079.0,-1.0,34444.00,37204791.40,1080.0,-0.09,"54,660,372","516,517","70,795,676,757.00",2022-02-17
26,1,NABIL,Nabil Bank Limited,877,1096.0,1070.3,1080.0,5.0,46381.00,50105537.10,1075.0,0.47,"54,660,372","516,517","70,795,676,757.00",2022-02-16
27,1,NABIL,Nabil Bank Limited,948,1085.0,1066.1,1075.0,11.0,53230.00,57013901.40,1064.0,1.03,"54,660,372","516,517","70,795,676,757.00",2022-02-15
28,1,NABIL,Nabil Bank Limited,1377,1079.0,1064.0,1064.0,-6.0,68303.00,73017839.30,1070.0,-0.56,"54,660,372","516,517","70,795,676,757.00",2022-02-14
29,1,NABIL,Nabil Bank Limited,1728,1095.0,1069.0,1070.0,-27.1,87909.00,94341596.80,1097.1,-2.47,"54,660,372","516,517","70,795,676,757.00",2022-02-13
30,1,NABIL,Nabil Bank Limited,984,1101.0,1095.0,1097.1,-3.8,62380.00,68504631.00,1100.9,-0.35,"54,660,372","516,517","70,795,676,757.00",2022-02-10
31,1,NABIL,Nabil Bank Limited,1048,1110.0,1098.0,1100.9,-6.1,59639.00,65698220.80,1107.0,-0.55,"54,660,372","516,517","70,795,676,757.00",2022-02-09
32,1,NABIL,Nabil Bank Limited,938,1129.0,1106.0,1107.0,-2.0,51383.00,57126383.50,1109.0,-0.18,"54,660,372","516,517","70,795,676,757.00",2022-02-08
