Stock Name,Stock Symbol,Sector,Symbol No
10 % NMB DEBENTURE 2085,NMBD2085,Corporate Debenture,2850
10% Himalayan Bank Debenture 2083,HBLD83,Corporate Debenture,2873
10% Laxmi Bank Debenture 2086,LBLD86,Corporate Debenture,2879
10% Nabil Debenture 2082,NBLD82,Corporate Debenture,2892
10% Nepal SBI Bank Debenture 2086,SBIBD86,Corporate Debenture,2890
10% NIC Asia Debenture 2085/86,NICAD 85/86,Corporate Debenture,2825
10% Prabhu Bank Debenture 2084,PBLD84,Corporate Debenture,2904
10% Sanima Bank Limited Debenture,SAND2085,Corporate Debenture,2828
10% Sunrise Debenture 2080,SRD80,Corporate Debenture,2834
10.25% Citizens Bank Debenture 2086,CIZBD86,Corporate Debenture,2889
10.25% GLOBAL IME BANK LTD. DEBENTURE 2080/81,GBD80/81,Corporate Debenture,2840
10.25% KBL Debenture 2086,KBLD86,Corporate Debenture,2885
10.25% Machhapuchhre Bank Debenture 2085,MBLD2085,Corporate Debenture,2866
10.25% NBBL Debenture 2085,NBBD2085,Corporate Debenture,2854
10.25% NIC Asia Debenture 2083/84,NICD83/84,Corporate Debenture,2868
10.25% Prabhu Bank  Debenture 2086,PBLD86,Corporate Debenture,2875
10.25% SBL Debenture 2083,SBLD83,Corporate Debenture,2864
10.25% Sunrise Bank Debenture 2083,SRBLD83,Corporate Debenture,2878
10.35% Agricultural Bank Debenture 2083,ADBLD83,Corporate Debenture,2886
10.5 % NEPAL INVESTMENT DEBENTURE 2082,NIBD2082,Corporate Debenture,2851
10.50% SBL Debenture 2082,SBLD2082,Corporate Debenture,2872
11% NIC Asia Debenture 082/83,NICAD8283,Corporate Debenture,2869
12 % Goodwill Finance Limited Debenture 2083,GWFD83,Corporate Debenture,2883
12% ICFC Finance Limited Debenture 2083,ICFCD83,Corporate Debenture,2882
4% Agricultural Bond,ADBLB,Corporate Debenture,4960
8% BOK Debenture 2079,BOKD2079,Corporate Debenture,2870
8.5% BOK Debenture 2086,BOKD86,Corporate Debenture,4961
8.5% Laxmi Bank Debenture 2088,LBLD88,Corporate Debenture,5984
8.5% Machhapuchchhre Debenture 2087,MBLD87,Corporate Debenture,7985
8.5% Nepal Bank Debenture 2087,NBLD87,Corporate Debenture,4959
8.5% Nepal Investment Bank Debenture 2084,NIBD84,Corporate Debenture,2931
8.5% Prabhu Bank Debenture 2087,PBLD87,Corporate Debenture,4962
8.5% RBBL Debenture 2083,RBBD83,Corporate Debenture,8003
8.5% Sanima Debenture 2087,SBD87,Corporate Debenture,2922
8.5% SBL Debenture 2084,SBLD84,Corporate Debenture,2912
8.75 % Prime Debenture 2085,PBD85,Corporate Debenture,6984
9% Kamana Sewa Bikas Bank Limited Debenture 2087,KSBBLD87,Corporate Debenture,4948
9% NIC Asia Debenture 2081/82,NICAD8182,Corporate Debenture,2895
9.5% Manjushree Finance Limited Debenture 2085,MFLD85,Corporate Debenture,2932
9.5% NCC Debenture 2086,NCCD86,Corporate Debenture,2936
Aarambha Chautari Laghubitta Bittiya Sanstha Limited,ACLBSL,Microfinance,2790
ADHIKHOLA LAGHUBITTA BITTIYA SANSTHA LIMITED,AKBSL,Microfinance,2845
Agricultural Bond (8 Year),ADBLB86,Corporate Debenture,8029
Agricultural Bond (9 Year),ADBLB87,Corporate Debenture,8030
Agricultural Development Bank Limited,ADBL,Commercial Banks,397
Ajod Insurance Limited,AIL,Non Life Insurance,2893
Ankhu Khola Jalvidhyut Company Ltd,AKJCL,Hydro Power,2788
Api Power Company Ltd.,API,Hydro Power,697
Arambha Microfinance Bittiya Sanstha Ltd.,AMFI,Microfinance,2777
Arun Kabeli Power Ltd.,AKPL,Hydro Power,2757
Arun Valley Hydropower Development Co. Ltd.,AHPC,Hydro Power,360
Arun Vanaspati Udhyog Limited,AVU,Manufacturing And Processing,211
Asha Laghubitta Bittiya Sanstha Ltd,ALBSL,Microfinance,2807
Asian Life Insurance Co. Limited,ALICL,Life Insurance,385
Bank of Kathmandu Ltd.,BOKL,Commercial Banks,138
Barun Hydropower Co. Ltd.,BARUN,Hydro Power,686
Best Finance Company Ltd.,BFC,Finance,227
Bhargav Bikash Bank Ltd.,BHBL,Development Banks,487
Birat Shoe Limited,BSL,Manufacturing And Processing,217
Bishal Bazar Company Limited,BBC,Tradings,156
Bottlers Nepal (Balaju) Limited,BNL,Manufacturing And Processing,195
Bottlers Nepal (Terai) Limited,BNT,Manufacturing And Processing,213
Buddha Bhumi Nepal Hydropower Company Limited,BNHC,Hydro Power,8032
Butwal Power Company Limited,BPCL,Hydro Power,153
Butwal Spinning Mills Limited,BSM,Manufacturing And Processing,205
Capital Merchant Bank & Finance Co. Ltd.,CMB,Finance,259
CEDB Hydropower Development Company Limited,CHDC,Investment,3946
Central Finance Co. Ltd.,CFCL,Finance,245
Century Commercial Bank Ltd.,CCBL,Commercial Banks,605
Chandragiri Hills Limited,CGH,Hotels,2917
Chhimek Laghubitta Bittiya Sanstha Limited,CBBL,Microfinance,164
Chhyangdi Hydropower Ltd.,CHL,Hydro Power,2766
Chilime Hydropower Company Limited,CHCL,Hydro Power,154
Citizen Bank International Limited,CZBIL,Commercial Banks,348
Citizen Investment Trust,CIT,Investment,210
Citizens Mutual Fund -1,CMF1,Mutual Fund,2780
CITIZENS MUTUAL FUND 2,CMF2,Mutual Fund,2862
City Express Finance Co. Limited,CEFL,Finance,296
Civil Bank Ltd,CBL,Commercial Banks,532
