Symbol,Date,Open,High,Low,Close
CIT,2022-03-29,3140.00,3147.00,3100.00,3104.00
CIT,2022-03-28,3150.00,3170.00,3100.00,3120.00
CIT,2022-03-27,3165.00,3190.00,3141.00,3146.00
CIT,2022-03-24,3200.00,3248.90,3170.00,3170.00
CIT,2022-03-23,3269.00,3297.00,3230.00,3235.00
CIT,2022-03-22,3220.00,3290.00,3220.00,3269.00
CIT,2022-03-21,3195.00,3240.00,3180.00,3220.00
CIT,2022-03-20,3220.00,3225.00,3172.00,3190.00
CIT,2022-03-16,3157.00,3190.00,3111.00,3168.00
CIT,2022-03-15,3196.00,3196.00,3125.00,3157.00
CIT,2022-03-14,3182.00,3190.00,3105.00,3160.00
CIT,2022-03-13,3087.00,3180.00,3055.00,3160.00
CIT,2022-03-10,2948.00,3030.00,2915.00,3028.00
CIT,2022-03-09,2969.00,3000.00,2930.00,2948.90
CIT,2022-03-07,3000.00,3014.00,2950.00,2969.00
CIT,2022-03-06,2990.00,3040.00,2950.00,2983.00
CIT,2022-03-02,3050.00,3050.00,2980.00,2990.00
CIT,2022-02-28,3125.00,3130.00,3029.00,3038.00
CIT,2022-02-27,3150.00,3150.00,3075.00,3090.00
CIT,2022-02-24,3160.00,3190.00,3100.00,3103.00
CIT,2022-02-23,3222.00,3222.00,3171.00,3188.10
CIT,2022-02-22,3190.00,3225.00,3180.00,3190.00
CIT,2022-02-21,3150.00,3190.00,3150.00,3190.00
CIT,2022-02-20,3157.00,3213.00,3092.90,3150.00
CIT,2022-02-17,3220.00,3245.00,3207.00,3220.00
CIT,2022-02-16,3235.00,3269.00,3205.00,3207.00
CIT,2022-02-15,3205.00,3249.90,3195.10,3235.00
CIT,2022-02-14,3200.00,3245.00,3182.00,3210.00
CIT,2022-02-13,3255.00,3255.00,3189.00,3200.00
CIT,2022-02-10,3280.00,3370.00,3280.00,3319.90
CIT,2022-02-09,3306.10,3375.00,3278.00,3333.00
CIT,2022-02-08,3417.20,3430.00,3323.00,3335.00
CIT,2022-02-07,3298.00,3400.00,3298.00,3350.20
CIT,2022-02-06,3390.00,3415.00,3355.00,3365.00
CIT,2022-02-03,3484.00,3484.00,3400.00,3410.00
CIT,2022-02-01,3360.00,3435.00,3353.00,3416.00
CIT,2022-01-31,3400.10,3465.00,3395.00,3398.00
CIT,2022-01-30,3377.00,3451.00,3377.00,3439.00
CIT,2022-01-27,3355.00,3359.00,3309.00,3310.80
CIT,2022-01-26,3320.00,3390.00,3300.00,3306.00
CIT,2022-01-25,3380.00,3415.00,3260.00,3380.00
CIT,2022-01-24,3451.00,3455.10,3364.00,3380.00
CIT,2022-01-23,3555.00,3555.00,3458.00,3470.00
CIT,2022-01-20,3451.00,3520.00,3431.00,3495.00
CIT,2022-01-19,3511.00,3524.00,3453.60,3470.20
CIT,2022-01-18,3512.00,3639.90,3485.10,3510.00
CIT,2022-01-17,3608.70,3646.00,3523.00,3575.00
CIT,2022-01-16,3492.40,3599.00,3422.60,3569.00
CIT,2022-01-13,3410.00,3438.00,3371.00,3424.00
CIT,2022-01-12,3400.00,3468.00,3364.00,3380.00
CIT,2022-01-11,3380.00,3419.00,3350.00,3400.00
CIT,2022-01-10,3440.00,3449.90,3360.00,3376.00
CIT,2022-01-09,3355.00,3419.90,3345.00,3409.00
CIT,2022-01-06,3231.00,3375.00,3190.00,3345.00
CIT,2022-01-05,3350.00,3350.00,3241.00,3241.90
CIT,2022-01-04,3350.00,3365.00,3261.00,3330.00
CIT,2022-01-03,3264.00,3339.00,3201.00,3309.90
CIT,2022-01-02,3132.40,3250.00,3071.00,3200.00
CIT,2021-12-29,3140.00,3140.00,3054.00,3071.00
CIT,2021-12-28,3091.00,3200.00,3061.00,3091.10
CIT,2021-12-27,3250.00,3255.00,3113.00,3118.00
CIT,2021-12-26,3081.00,3276.00,3020.00,3240.00
CIT,2021-12-23,3069.00,3075.00,2971.00,3021.00
CIT,2021-12-22,2896.80,3010.00,2875.00,3009.00
CIT,2021-12-21,2800.00,2852.00,2796.00,2840.00
CIT,2021-12-20,2760.00,2825.00,2711.00,2780.00
CIT,2021-12-16,2870.00,2870.00,2755.00,2813.00
CIT,2021-12-15,2907.00,3000.00,2792.00,2865.00
CIT,2021-12-14,2719.00,2850.00,2686.00,2850.00
CIT,2021-12-13,2750.10,2750.10,2625.00,2666.00
CIT,2021-12-12,2888.00,2930.00,2775.10,2778.00
CIT,2021-12-09,2900.00,2909.00,2856.00,2888.00
CIT,2021-12-08,2970.00,2990.00,2870.00,2885.00
CIT,2021-12-07,3095.70,3096.00,2970.00,2975.00
CIT,2021-12-06,2986.00,3044.00,2886.00,3036.00
CIT,2021-12-05,3092.00,3100.20,3028.00,3032.00
CIT,2021-12-02,3168.00,3183.00,3110.00,3125.00
CIT,2021-12-01,3190.00,3200.00,3138.00,3168.00
CIT,2021-11-30,3200.00,3200.00,3150.00,3155.00
CIT,2021-11-29,3149.00,3240.00,3120.00,3162.00
CIT,2021-11-28,3221.00,3277.00,3160.00,3180.00
CIT,2021-11-25,3340.00,3344.90,3214.40,3278.10
CIT,2021-11-24,3310.00,3330.00,3270.00,3315.00
CIT,2021-11-23,3300.00,3350.00,3300.00,3318.00
CIT,2021-11-22,3325.00,3369.00,3325.00,3367.00
CIT,2021-11-21,3355.00,3380.00,3310.10,3328.00
CIT,2021-11-18,3318.00,3390.00,3318.00,3351.10
CIT,2021-11-17,3450.00,3464.00,3381.00,3385.00
CIT,2021-11-16,3345.00,3417.00,3290.00,3415.00
CIT,2021-11-15,3340.00,3350.00,3290.00,3330.00
CIT,2021-11-14,3251.00,3315.00,3250.00,3285.00
CIT,2021-11-11,3349.00,3389.00,3310.00,3310.00
CIT,2021-11-09,3465.00,3465.00,3371.20,3400.00
CIT,2021-11-08,3456.00,3505.00,3456.00,3465.00
CIT,2021-11-03,3534.00,3534.00,3470.00,3485.00
