Symbol,Date,Open,High,Low,Close
MNBBL,2022-03-28,496.20,502.80,489.00,490.00
MNBBL,2022-03-27,519.10,519.10,495.00,496.50
MNBBL,2022-03-24,505.00,518.00,505.00,509.00
MNBBL,2022-03-23,520.00,520.00,511.00,514.90
MNBBL,2022-03-22,516.00,525.00,516.00,520.10
MNBBL,2022-03-21,505.00,516.00,499.00,514.90
MNBBL,2022-03-20,515.00,520.00,498.00,504.90
MNBBL,2022-03-16,523.90,524.00,510.00,510.50
MNBBL,2022-03-15,525.50,528.00,513.10,518.00
MNBBL,2022-03-14,530.00,530.00,512.00,525.00
MNBBL,2022-03-13,495.00,525.00,495.00,520.00
MNBBL,2022-03-10,473.00,488.50,466.00,488.00
MNBBL,2022-03-09,488.00,494.00,471.80,472.00
MNBBL,2022-03-07,490.00,495.00,485.00,485.50
MNBBL,2022-03-06,488.00,493.90,479.30,488.00
MNBBL,2022-03-02,493.00,497.00,481.00,481.00
MNBBL,2022-02-28,516.00,525.90,499.00,499.00
MNBBL,2022-02-27,510.00,515.00,502.00,506.00
MNBBL,2022-02-24,530.40,530.40,509.00,510.00
MNBBL,2022-02-23,525.00,534.00,520.00,520.00
MNBBL,2022-02-22,520.00,530.00,517.00,527.00
MNBBL,2022-02-21,515.00,520.00,510.00,514.00
MNBBL,2022-02-20,515.50,517.90,500.00,511.00
MNBBL,2022-02-17,525.00,530.00,520.20,522.40
MNBBL,2022-02-16,525.00,540.00,523.50,525.00
MNBBL,2022-02-15,525.90,534.00,518.50,534.00
MNBBL,2022-02-14,522.00,542.00,521.00,525.00
MNBBL,2022-02-13,530.00,535.00,521.00,522.00
MNBBL,2022-02-10,548.00,552.00,540.00,540.00
MNBBL,2022-02-09,550.00,554.00,542.00,544.00
MNBBL,2022-02-08,567.10,577.00,546.90,552.00
MNBBL,2022-02-07,562.00,562.30,546.00,556.00
MNBBL,2022-02-06,556.00,565.00,551.20,551.30
MNBBL,2022-02-03,569.90,579.00,560.00,560.00
MNBBL,2022-02-01,570.00,570.00,555.00,567.90
MNBBL,2022-01-31,579.00,579.00,558.20,559.10
MNBBL,2022-01-30,553.80,577.00,553.80,568.50
MNBBL,2022-01-27,558.00,558.00,540.00,543.00
MNBBL,2022-01-26,550.00,555.00,540.00,547.50
MNBBL,2022-01-25,565.00,565.00,547.00,550.00
MNBBL,2022-01-24,588.50,588.50,550.10,554.00
MNBBL,2022-01-23,585.00,596.00,573.00,577.00
MNBBL,2022-01-20,569.00,582.90,563.00,582.00
MNBBL,2022-01-19,588.50,588.50,567.50,569.00
MNBBL,2022-01-18,595.00,595.00,571.50,577.00
MNBBL,2022-01-17,599.00,599.00,582.10,590.00
MNBBL,2022-01-16,590.70,603.00,585.50,590.10
MNBBL,2022-01-13,560.00,579.50,550.10,579.20
MNBBL,2022-01-12,582.00,587.00,555.00,560.00
MNBBL,2022-01-11,570.00,580.00,567.00,576.00
MNBBL,2022-01-10,575.00,586.00,560.00,566.00
MNBBL,2022-01-09,545.00,570.00,540.10,565.10
MNBBL,2022-01-06,525.00,536.00,525.00,536.00
MNBBL,2022-01-05,530.00,547.80,522.50,528.00
MNBBL,2022-01-04,515.00,532.00,510.00,530.00
MNBBL,2022-01-03,520.20,524.00,510.00,515.00
MNBBL,2022-01-02,504.90,512.00,495.00,510.00
MNBBL,2021-12-29,498.00,502.00,494.00,495.00
MNBBL,2021-12-28,502.80,502.80,484.20,497.00
MNBBL,2021-12-27,512.00,513.00,492.10,493.00
MNBBL,2021-12-26,507.90,515.00,500.00,509.00
MNBBL,2021-12-23,513.50,513.50,490.00,499.00
MNBBL,2021-12-22,494.70,507.00,490.00,503.50
MNBBL,2021-12-21,480.00,487.30,472.00,485.00
MNBBL,2021-12-20,493.60,493.60,463.00,470.70
MNBBL,2021-12-16,503.00,503.00,480.00,484.00
MNBBL,2021-12-15,493.00,523.00,476.00,495.00
MNBBL,2021-12-14,453.90,484.00,450.00,484.00
MNBBL,2021-12-13,450.80,468.00,430.00,447.00
MNBBL,2021-12-12,495.00,495.00,460.00,460.00
MNBBL,2021-12-09,494.00,500.80,484.00,493.00
MNBBL,2021-12-08,505.00,512.00,492.00,493.50
MNBBL,2021-12-07,520.00,534.00,505.00,507.00
MNBBL,2021-12-06,500.00,515.00,480.00,510.00
MNBBL,2021-12-05,532.00,532.00,500.00,500.00
MNBBL,2021-12-02,555.00,561.00,527.00,533.00
MNBBL,2021-12-01,569.70,575.00,557.00,558.00
MNBBL,2021-11-30,678.00,680.00,666.10,672.10
MNBBL,2021-11-29,685.00,690.00,661.00,666.00
MNBBL,2021-11-28,687.00,697.00,666.00,672.00
MNBBL,2021-11-25,711.00,715.00,694.00,695.00
MNBBL,2021-11-24,699.00,711.00,685.00,704.00
MNBBL,2021-11-23,711.00,714.00,696.00,699.00
MNBBL,2021-11-22,728.00,728.00,707.10,711.00
MNBBL,2021-11-21,715.90,727.00,712.00,714.00
MNBBL,2021-11-18,725.00,733.00,715.00,715.90
MNBBL,2021-11-17,729.00,741.00,725.00,727.00
MNBBL,2021-11-16,736.90,736.90,713.50,729.00
MNBBL,2021-11-15,718.00,730.00,708.00,725.00
MNBBL,2021-11-14,692.00,714.00,679.00,705.00
MNBBL,2021-11-11,705.00,705.00,681.00,688.00
MNBBL,2021-11-09,730.00,735.00,704.00,708.00
MNBBL,2021-11-08,746.00,748.00,732.00,732.00
MNBBL,2021-11-03,767.00,767.00,744.00,744.00
MNBBL,2021-11-02,743.00,759.70,725.00,752.00
MNBBL,2021-11-01,749.00,760.00,730.00,738.00
MNBBL,2021-10-31,726.20,741.00,726.20,738.00
MNBBL,2021-10-28,723.00,723.00,705.00,712.00
MNBBL,2021-10-27,720.00,731.00,700.70,717.00
MNBBL,2021-10-26,706.00,724.00,703.50,716.90
MNBBL,2021-10-25,676.10,695.00,666.00,692.50
MNBBL,2021-10-24,656.10,669.10,656.00,662.90
MNBBL,2021-10-21,674.00,674.00,650.00,656.00
MNBBL,2021-10-20,661.90,679.90,650.00,665.00
MNBBL,2021-10-19,670.00,670.00,640.00,649.00
MNBBL,2021-10-18,688.00,693.00,660.00,670.00
MNBBL,2021-10-17,702.00,705.00,686.00,699.20
MNBBL,2021-10-11,690.00,693.60,671.00,689.90
MNBBL,2021-10-10,701.70,714.90,688.00,689.60
MNBBL,2021-10-06,679.90,693.00,670.00,688.00
MNBBL,2021-10-05,636.20,670.00,636.20,667.00
MNBBL,2021-10-04,643.90,664.00,640.00,649.10
MNBBL,2021-10-03,669.00,671.00,651.00,657.00
MNBBL,2021-09-30,693.40,693.40,665.00,665.10
MNBBL,2021-09-29,675.00,680.00,640.00,679.90
MNBBL,2021-09-28,685.00,690.00,652.00,661.90
MNBBL,2021-09-27,706.00,710.00,681.10,685.00
MNBBL,2021-09-26,722.00,735.00,703.00,706.00
MNBBL,2021-09-23,730.00,744.00,705.00,710.00
MNBBL,2021-09-22,686.00,720.10,685.00,719.00
MNBBL,2021-09-21,669.00,704.00,635.00,673.00
MNBBL,2021-09-20,700.00,705.00,662.00,669.00
MNBBL,2021-09-16,725.00,725.00,695.20,705.00
MNBBL,2021-09-15,748.00,748.00,721.00,725.00
MNBBL,2021-09-14,738.00,762.00,727.00,734.00
MNBBL,2021-09-13,753.70,764.00,734.00,738.00
MNBBL,2021-09-12,715.00,744.00,701.00,739.00
MNBBL,2021-09-09,720.00,723.80,700.00,710.00
MNBBL,2021-09-08,753.00,753.00,710.00,710.20
MNBBL,2021-09-07,773.00,773.00,725.00,741.00
MNBBL,2021-09-06,680.00,757.90,676.00,757.90
MNBBL,2021-09-05,710.00,719.00,671.30,689.00
MNBBL,2021-09-02,740.00,750.00,715.00,721.00
MNBBL,2021-09-01,755.00,770.00,740.00,740.20
MNBBL,2021-08-31,769.90,770.00,740.00,748.00
MNBBL,2021-08-29,791.00,796.00,766.40,770.00
MNBBL,2021-08-26,765.00,794.00,756.50,781.00
MNBBL,2021-08-25,780.00,780.00,751.00,765.00
MNBBL,2021-08-24,824.00,825.00,780.00,781.00
MNBBL,2021-08-19,835.00,849.00,800.00,809.00
MNBBL,2021-08-18,810.00,850.00,783.00,834.00
MNBBL,2021-08-17,768.00,801.00,753.00,796.00
MNBBL,2021-08-16,770.00,780.00,749.00,758.00
MNBBL,2021-08-15,775.00,779.10,740.00,761.00
MNBBL,2021-08-12,730.00,780.00,729.00,774.00
MNBBL,2021-08-11,740.00,775.00,725.00,730.00
MNBBL,2021-08-10,705.00,749.00,697.00,735.00
MNBBL,2021-08-09,709.00,710.00,692.00,694.00
MNBBL,2021-08-08,714.00,716.80,700.00,701.60
MNBBL,2021-08-05,689.00,724.00,683.00,700.00
MNBBL,2021-08-04,685.00,691.00,681.00,687.00
MNBBL,2021-08-03,690.00,690.00,677.00,681.90
MNBBL,2021-08-02,695.00,695.00,680.00,682.00
MNBBL,2021-08-01,693.00,696.00,686.00,686.00
MNBBL,2021-07-29,695.00,699.00,685.00,685.00
MNBBL,2021-07-28,694.50,700.00,690.00,691.70
MNBBL,2021-07-27,682.10,693.00,671.00,693.00
MNBBL,2021-07-26,690.00,699.00,686.00,696.00
MNBBL,2021-07-25,692.00,696.00,683.10,690.00
MNBBL,2021-07-22,692.00,692.00,682.00,683.00
MNBBL,2021-07-20,687.00,693.00,676.30,680.00
MNBBL,2021-07-19,690.00,700.00,680.00,686.00
MNBBL,2021-07-18,670.00,685.00,670.00,680.90
MNBBL,2021-07-15,662.00,668.00,657.00,657.00
MNBBL,2021-07-14,670.00,671.00,651.00,659.00
MNBBL,2021-07-13,655.00,669.00,644.00,662.00
MNBBL,2021-07-12,663.00,680.00,640.00,653.00
MNBBL,2021-07-11,656.00,669.00,631.00,663.00
MNBBL,2021-07-08,614.00,627.00,611.00,625.00
MNBBL,2021-07-07,610.00,622.00,610.00,614.00
MNBBL,2021-07-06,602.00,618.00,602.00,610.00
MNBBL,2021-07-05,620.00,620.00,606.00,608.00
MNBBL,2021-07-04,632.00,639.00,620.00,623.00
MNBBL,2021-07-01,640.00,642.00,618.00,632.00
MNBBL,2021-06-30,598.00,626.00,570.00,621.00
MNBBL,2021-06-29,614.00,620.00,594.00,598.00
MNBBL,2021-06-28,632.00,632.00,613.00,614.00
MNBBL,2021-06-27,624.00,633.00,602.00,620.00
MNBBL,2021-06-24,625.00,639.00,613.00,624.00
MNBBL,2021-06-23,666.00,670.00,631.00,635.00
MNBBL,2021-06-22,650.00,660.00,615.00,660.00
MNBBL,2021-06-21,660.00,665.00,620.00,623.00
MNBBL,2021-06-20,692.00,692.00,642.00,655.00
MNBBL,2021-06-17,670.00,690.00,655.00,684.00
MNBBL,2021-06-16,698.00,700.00,660.00,670.00
MNBBL,2021-06-15,719.00,725.00,690.00,697.00
MNBBL,2021-06-14,745.00,745.00,707.00,719.00
MNBBL,2021-06-13,673.00,702.00,673.00,723.00
MNBBL,2021-06-10,667.00,678.00,650.00,673.00
MNBBL,2021-06-09,700.00,728.00,654.00,668.00
MNBBL,2021-06-08,650.00,693.00,645.00,693.00
MNBBL,2021-06-07,599.00,635.00,570.00,630.00
MNBBL,2021-06-06,580.00,599.00,570.00,590.00
MNBBL,2021-06-03,546.00,580.00,542.00,566.00
MNBBL,2021-06-02,535.00,535.00,504.00,536.00
MNBBL,2021-06-01,510.00,520.00,506.00,509.00
MNBBL,2021-05-31,535.00,545.00,511.00,515.00
MNBBL,2021-05-30,500.00,537.00,498.00,529.00
