Symbol,Date,Open,High,Low,Close
NABIL,2022-03-31,1015.00,1019.90,1000.00,1002.00
NABIL,2022-03-30,995.00,1006.00,993.00,1006.00
NABIL,2022-03-29,1000.10,1030.00,1000.10,1009.00
NABIL,2022-03-28,1029.00,1029.00,1010.00,1017.00
NABIL,2022-03-27,1055.00,1055.00,1017.00,1020.00
NABIL,2022-03-24,1057.00,1057.00,1036.00,1040.00
NABIL,2022-03-23,1060.00,1060.00,1043.00,1047.00
NABIL,2022-03-22,1060.00,1065.00,1048.10,1050.00
NABIL,2022-03-21,1075.00,1075.00,1046.00,1052.00
NABIL,2022-03-20,1080.00,1080.00,1055.30,1060.00
NABIL,2022-03-16,1079.00,1089.00,1060.00,1064.00
NABIL,2022-03-15,1100.00,1100.00,1075.00,1079.00
NABIL,2022-03-14,1100.00,1100.50,1081.00,1092.00
NABIL,2022-03-13,1036.00,1080.00,1034.00,1079.00
NABIL,2022-03-10,988.70,1018.00,988.70,1018.00
NABIL,2022-03-09,1011.90,1020.00,1006.00,1007.90
NABIL,2022-03-07,1010.00,1012.00,1000.00,1011.90
NABIL,2022-03-06,985.90,1020.00,985.90,1002.90
NABIL,2022-03-02,1040.00,1048.00,1000.00,1006.00
NABIL,2022-02-28,1050.00,1059.00,1037.00,1040.00
NABIL,2022-02-27,1051.00,1051.00,1040.00,1041.00
NABIL,2022-02-24,1065.00,1067.00,1048.00,1051.00
NABIL,2022-02-23,1084.00,1085.00,1065.00,1067.50
NABIL,2022-02-22,1080.00,1080.00,1069.00,1070.50
NABIL,2022-02-21,1070.00,1073.00,1063.00,1067.00
NABIL,2022-02-20,1070.00,1075.00,1045.00,1062.00
NABIL,2022-02-17,1081.00,1094.00,1070.00,1079.00
NABIL,2022-02-16,1096.00,1096.00,1070.30,1080.00
NABIL,2022-02-15,1085.00,1085.00,1066.10,1075.00
NABIL,2022-02-14,1070.00,1079.00,1064.00,1064.00
NABIL,2022-02-13,1095.00,1095.00,1069.00,1070.00
NABIL,2022-02-10,1101.00,1101.00,1095.00,1097.10
NABIL,2022-02-09,1110.00,1110.00,1098.00,1100.90
NABIL,2022-02-08,1128.00,1129.00,1106.00,1107.00
NABIL,2022-02-07,1112.00,1112.00,1106.00,1109.00
NABIL,2022-02-06,1130.00,1130.00,1108.50,1109.00
NABIL,2022-02-03,1141.50,1143.50,1121.00,1122.00
NABIL,2022-02-01,1129.90,1129.90,1119.30,1121.10
NABIL,2022-01-31,1149.00,1149.00,1125.00,1127.00
