Symbol,Date,Open,High,Low,Close
NLIC,2022-03-29,1082.00,1083.00,1020.00,1024.00
NLIC,2022-03-28,1098.00,1098.00,1057.20,1063.00
NLIC,2022-03-27,1144.00,1161.00,1080.00,1085.00
NLIC,2022-03-24,1158.90,1159.00,1120.00,1122.00
NLIC,2022-03-23,1170.10,1175.00,1138.00,1141.00
NLIC,2022-03-22,1125.00,1179.00,1124.00,1167.00
NLIC,2022-03-21,1106.00,1110.00,1088.00,1109.50
NLIC,2022-03-20,1250.00,1268.00,1235.00,1237.00
NLIC,2022-03-16,1260.00,1279.00,1235.00,1241.00
NLIC,2022-03-15,1289.90,1295.00,1245.00,1249.00
NLIC,2022-03-14,1299.00,1299.00,1253.00,1272.00
NLIC,2022-03-13,1234.80,1284.10,1220.00,1274.00
NLIC,2022-03-10,1179.90,1218.00,1160.00,1210.60
NLIC,2022-03-09,1155.00,1175.00,1150.00,1170.00
NLIC,2022-03-07,1170.10,1181.00,1152.00,1155.00
NLIC,2022-03-06,1205.00,1205.00,1158.30,1159.00
NLIC,2022-03-02,1240.00,1240.00,1179.00,1184.90
NLIC,2022-02-28,1267.00,1292.00,1230.00,1242.00
NLIC,2022-02-27,1266.20,1290.00,1262.00,1267.00
NLIC,2022-02-24,1340.00,1340.00,1280.00,1292.00
NLIC,2022-02-23,1360.00,1360.00,1330.10,1334.00
NLIC,2022-02-22,1359.00,1359.00,1335.00,1335.60
NLIC,2022-02-21,1342.00,1347.00,1330.00,1337.00
NLIC,2022-02-20,1347.00,1361.00,1302.00,1338.00
NLIC,2022-02-17,1371.00,1380.00,1366.00,1374.00
NLIC,2022-02-16,1406.00,1406.00,1370.00,1374.00
NLIC,2022-02-15,1370.00,1400.00,1360.00,1380.00
NLIC,2022-02-14,1350.00,1388.00,1344.00,1368.00
NLIC,2022-02-13,1387.00,1393.00,1335.80,1350.00
NLIC,2022-02-10,1420.00,1440.00,1390.00,1415.00
NLIC,2022-02-09,1455.00,1455.00,1415.00,1429.00
NLIC,2022-02-08,1480.00,1529.00,1455.00,1456.00
NLIC,2022-02-07,1506.00,1506.00,1455.00,1470.00
NLIC,2022-02-06,1597.40,1597.40,1481.00,1506.00
NLIC,2022-02-03,1680.10,1703.00,1624.00,1630.00
NLIC,2022-02-01,1690.00,1690.00,1665.00,1670.00
NLIC,2022-01-31,1680.00,1740.00,1680.00,1684.00
NLIC,2022-01-30,1685.00,1718.00,1685.00,1713.00
NLIC,2022-01-27,1674.80,1690.00,1642.10,1652.00
NLIC,2022-01-26,1704.40,1704.40,1627.00,1642.00
NLIC,2022-01-25,1680.00,1707.00,1640.00,1671.00
NLIC,2022-01-24,1740.00,1750.00,1658.00,1667.00
NLIC,2022-01-23,1778.00,1798.90,1735.00,1740.00
NLIC,2022-01-20,1705.00,1760.00,1695.00,1744.00
NLIC,2022-01-19,1775.00,1775.00,1700.00,1710.00
NLIC,2022-01-18,1781.00,1798.00,1735.00,1749.80
