Symbol,Date,Open,High,Low,Close
SHPC,2022-03-28,392.90,396.90,386.00,388.00
SHPC,2022-03-27,402.00,402.00,390.00,392.90
SHPC,2022-03-24,405.10,407.00,401.00,401.10
SHPC,2022-03-23,407.00,409.00,405.00,405.00
SHPC,2022-03-22,415.00,416.90,409.00,409.00
SHPC,2022-03-21,409.00,413.00,401.00,413.00
SHPC,2022-03-20,406.00,408.00,400.40,401.00
SHPC,2022-03-16,405.00,411.00,401.00,404.50
SHPC,2022-03-15,411.30,418.00,408.00,409.90
SHPC,2022-03-14,418.00,420.00,412.00,415.50
SHPC,2022-03-13,414.00,422.00,409.00,417.80
SHPC,2022-03-10,400.50,415.00,390.00,408.00
SHPC,2022-03-09,401.00,409.00,387.20,393.80
SHPC,2022-03-07,406.00,409.90,398.60,401.00
SHPC,2022-03-06,410.00,411.00,401.80,405.00
SHPC,2022-03-02,419.00,422.00,403.10,403.10
SHPC,2022-02-28,441.80,450.00,420.00,421.50
SHPC,2022-02-27,431.00,443.00,431.00,433.20
SHPC,2022-02-24,448.00,453.00,428.00,431.00
SHPC,2022-02-23,440.00,450.00,440.00,447.90
SHPC,2022-02-22,440.00,447.50,437.00,438.00
SHPC,2022-02-21,438.90,439.00,430.00,436.90
SHPC,2022-02-20,426.30,439.00,418.00,431.00
SHPC,2022-02-17,436.00,442.00,429.10,435.00
SHPC,2022-02-16,445.00,450.90,432.40,436.00
SHPC,2022-02-15,433.00,447.80,425.10,444.00
SHPC,2022-02-14,422.00,433.00,418.80,425.00
SHPC,2022-02-13,440.00,440.00,421.00,422.00
SHPC,2022-02-10,440.00,452.90,439.00,448.00
SHPC,2022-02-09,446.00,452.00,439.10,446.00
SHPC,2022-02-08,469.00,480.00,448.00,455.00
SHPC,2022-02-07,451.00,465.00,451.00,459.90
SHPC,2022-02-06,464.00,466.00,450.50,459.00
SHPC,2022-02-03,463.00,469.00,453.00,455.00
SHPC,2022-02-01,435.00,456.00,433.10,454.00
SHPC,2022-01-31,459.00,459.00,437.00,440.00
SHPC,2022-01-30,428.40,450.00,428.40,450.00
SHPC,2022-01-27,422.00,429.90,419.00,420.00
SHPC,2022-01-26,425.20,431.00,419.00,422.00
SHPC,2022-01-25,430.00,443.00,425.00,432.00
SHPC,2022-01-24,452.00,452.00,430.00,435.00
SHPC,2022-01-23,460.00,468.00,453.00,458.00
SHPC,2022-01-20,452.00,460.00,450.00,460.00
SHPC,2022-01-19,456.00,473.00,450.00,451.00
SHPC,2022-01-18,478.00,482.00,457.00,464.00
SHPC,2022-01-17,475.00,479.00,460.00,478.00
SHPC,2022-01-16,468.00,477.00,460.00,469.00
SHPC,2022-01-13,444.00,464.00,438.00,459.00
SHPC,2022-01-12,452.00,461.00,439.20,443.90
SHPC,2022-01-11,440.00,463.90,431.00,452.00
SHPC,2022-01-10,445.00,450.00,431.90,439.00
SHPC,2022-01-09,428.00,443.80,421.10,440.00
SHPC,2022-01-06,411.10,423.30,410.00,420.00
SHPC,2022-01-05,414.00,428.00,408.00,414.00
SHPC,2022-01-04,396.10,415.00,396.00,414.00
SHPC,2022-01-03,401.00,409.00,398.00,404.00
SHPC,2022-01-02,399.80,402.00,393.50,401.00
SHPC,2021-12-29,396.10,406.00,392.00,392.00
SHPC,2021-12-28,393.00,402.90,386.00,400.00
SHPC,2021-12-27,406.00,413.00,388.30,393.00
SHPC,2021-12-26,410.00,414.00,401.10,406.00
SHPC,2021-12-23,410.00,415.00,397.10,408.00
SHPC,2021-12-22,385.00,409.80,384.90,408.10
SHPC,2021-12-21,370.00,379.70,368.00,378.00
SHPC,2021-12-20,375.00,377.60,357.10,363.00
SHPC,2021-12-16,380.00,394.70,370.00,370.20
SHPC,2021-12-15,390.00,409.00,380.00,387.00
SHPC,2021-12-14,359.00,385.00,359.00,385.00
SHPC,2021-12-13,370.00,370.00,347.00,352.00
SHPC,2021-12-12,389.00,390.00,369.00,370.00
SHPC,2021-12-09,389.00,410.00,375.20,383.00
SHPC,2021-12-08,404.00,410.50,385.00,389.00
SHPC,2021-12-07,424.00,430.00,405.00,405.10
SHPC,2021-12-06,399.00,418.00,375.60,417.00
SHPC,2021-12-05,415.00,415.00,397.50,398.00
SHPC,2021-12-02,426.00,426.00,414.00,415.00
SHPC,2021-12-01,427.00,434.00,421.00,425.00
SHPC,2021-11-30,420.00,429.00,414.10,419.00
SHPC,2021-11-29,416.70,438.00,412.00,417.00
SHPC,2021-11-28,429.30,438.00,411.20,416.70
SHPC,2021-11-25,439.00,453.00,430.00,438.00
SHPC,2021-11-24,435.00,455.00,428.00,446.00
