Symbol,Date,Open,High,Low,Close
SICL,2022-03-28,1380.00,1380.00,1325.00,1332.00
SICL,2022-03-27,1382.00,1428.00,1334.00,1360.00
SICL,2022-03-24,1414.00,1414.00,1380.00,1382.00
SICL,2022-03-23,1412.80,1412.90,1385.00,1395.00
SICL,2022-03-22,1400.00,1420.00,1392.00,1397.20
SICL,2022-03-21,1400.00,1400.00,1371.00,1395.00
SICL,2022-03-20,1410.00,1427.00,1390.00,1395.00
SICL,2022-03-16,1427.00,1427.00,1401.00,1410.00
SICL,2022-03-15,1425.00,1425.00,1404.00,1404.00
SICL,2022-03-14,1430.00,1449.00,1421.00,1425.00
SICL,2022-03-13,1375.00,1440.00,1375.00,1428.20
SICL,2022-03-10,1342.00,1366.00,1342.00,1364.80
SICL,2022-03-09,1387.20,1387.20,1350.20,1355.00
SICL,2022-03-07,1385.90,1385.90,1360.00,1360.00
SICL,2022-03-06,1347.00,1362.00,1325.00,1361.90
SICL,2022-03-02,1390.00,1390.00,1345.50,1347.00
SICL,2022-02-28,1423.00,1425.00,1387.00,1390.00
SICL,2022-02-27,1404.00,1431.00,1395.00,1396.10
SICL,2022-02-24,1430.00,1435.00,1390.00,1404.00
SICL,2022-02-23,1448.00,1455.00,1430.00,1440.00
SICL,2022-02-22,1455.00,1458.00,1430.00,1449.00
SICL,2022-02-21,1450.00,1467.90,1426.00,1430.00
SICL,2022-02-20,1425.90,1453.00,1399.00,1427.00
SICL,2022-02-17,1455.00,1465.00,1449.00,1455.00
SICL,2022-02-16,1497.00,1497.00,1451.00,1451.10
SICL,2022-02-15,1475.00,1478.00,1446.00,1474.00
SICL,2022-02-14,1404.40,1460.00,1400.00,1450.00
SICL,2022-02-13,1490.00,1490.00,1425.00,1433.00
SICL,2022-02-10,1520.00,1530.00,1500.00,1509.00
SICL,2022-02-09,1560.00,1569.00,1522.00,1528.00
SICL,2022-02-08,1615.60,1647.00,1560.00,1562.00
SICL,2022-02-07,1568.00,1630.00,1568.00,1584.00
SICL,2022-02-06,1581.70,1650.00,1581.70,1600.00
SICL,2022-02-03,2005.00,2030.00,1980.00,1986.00
SICL,2022-02-01,2034.00,2035.00,1990.00,1997.00
SICL,2022-01-31,2042.00,2058.80,1999.00,2000.00
SICL,2022-01-30,2035.90,2118.00,2030.00,2042.00
SICL,2022-01-27,1974.90,2050.00,1970.50,1996.00
SICL,2022-01-26,2000.00,2000.00,1930.00,1936.20
SICL,2022-01-25,2000.00,2009.40,1930.00,1974.00
SICL,2022-01-24,2070.00,2070.00,1978.00,1984.00
SICL,2022-01-23,2049.10,2157.00,2036.00,2056.90
SICL,2022-01-20,1925.00,2024.90,1911.00,2009.00
SICL,2022-01-19,1920.00,1942.00,1900.00,1923.00
SICL,2022-01-18,1920.00,1954.00,1906.00,1914.00
SICL,2022-01-17,1885.00,1917.00,1840.00,1914.00
SICL,2022-01-16,1823.00,1880.00,1835.00,1849.00
SICL,2022-01-13,1819.00,1835.00,1802.00,1823.00
SICL,2022-01-12,1834.00,1855.00,1780.00,1795.00
SICL,2022-01-11,1778.00,1839.00,1778.00,1830.00
SICL,2022-01-10,1767.00,1797.00,1765.00,1777.00
SICL,2022-01-09,1755.00,1800.00,1755.00,1765.00
SICL,2022-01-06,1740.00,1770.00,1730.10,1740.00
SICL,2022-01-05,1745.00,1765.00,1722.00,1740.00
SICL,2022-01-04,1751.00,1755.00,1730.00,1736.00
SICL,2022-01-03,1736.00,1770.00,1715.10,1750.00
SICL,2022-01-02,1684.00,1705.00,1657.00,1702.00
SICL,2021-12-29,1683.00,1683.00,1630.00,1657.50
SICL,2021-12-28,1635.00,1668.00,1597.40,1650.00
SICL,2021-12-27,1769.70,1769.70,1650.00,1657.00
SICL,2021-12-26,1721.70,1745.00,1659.00,1735.00
SICL,2021-12-23,1564.10,1688.50,1537.00,1688.00
SICL,2021-12-22,1480.00,1550.00,1480.00,1535.00
SICL,2021-12-21,1471.00,1477.00,1460.00,1475.50
SICL,2021-12-20,1475.20,1480.00,1445.00,1463.00
SICL,2021-12-16,1552.90,1553.00,1470.00,1497.00
SICL,2021-12-15,1528.00,1585.00,1469.00,1525.00
SICL,2021-12-14,1450.00,1500.00,1425.00,1498.90
SICL,2021-12-13,1478.00,1478.00,1387.00,1425.00
SICL,2021-12-12,1600.00,1603.00,1503.00,1508.00
SICL,2021-12-09,1608.00,1608.00,1561.00,1586.00
SICL,2021-12-08,1587.00,1618.70,1579.90,1585.00
SICL,2021-12-07,1636.00,1660.00,1590.00,1619.00
SICL,2021-12-06,1616.00,1650.00,1579.00,1636.00
SICL,2021-12-05,1652.00,1652.00,1620.00,1635.00
SICL,2021-12-02,1675.00,1706.00,1651.00,1652.00
SICL,2021-12-01,1660.00,1683.00,1646.00,1675.00
SICL,2021-11-30,1650.00,1665.00,1634.00,1650.00
SICL,2021-11-29,1630.00,1683.00,1619.00,1644.00
SICL,2021-11-28,1701.00,1710.00,1644.00,1650.00
SICL,2021-11-25,1711.50,1725.00,1670.00,1717.00
SICL,2021-11-24,1735.00,1735.00,1690.00,1709.90
SICL,2021-11-23,1730.00,1740.00,1713.00,1722.00
SICL,2021-11-22,1760.00,1760.00,1740.00,1740.00
SICL,2021-11-21,1760.00,1760.00,1730.00,1736.20
SICL,2021-11-18,1730.10,1764.00,1730.10,1736.00
SICL,2021-11-17,1750.00,1784.00,1750.00,1759.00
SICL,2021-11-16,1750.00,1756.90,1715.00,1735.00
SICL,2021-11-15,1763.00,1763.00,1735.00,1750.00
SICL,2021-11-14,1730.00,1740.00,1705.00,1729.10
SICL,2021-11-11,1743.00,1790.00,1700.00,1717.00
SICL,2021-11-09,1800.00,1800.00,1747.00,1765.20
SICL,2021-11-08,1846.10,1857.00,1800.00,1815.00
SICL,2021-11-03,1861.00,1861.00,1832.00,1846.00
SICL,2021-11-02,1795.00,1826.00,1794.00,1825.00
SICL,2021-11-01,1870.00,1870.00,1820.00,1823.00
SICL,2021-10-31,1815.00,1835.00,1790.00,1834.00
SICL,2021-10-28,1799.00,1808.00,1780.00,1793.00
SICL,2021-10-27,1820.00,1829.00,1789.00,1801.00
SICL,2021-10-26,1754.00,1800.00,1737.00,1794.00
SICL,2021-10-25,1701.00,1722.50,1690.00,1721.00
SICL,2021-10-24,1654.00,1670.00,1650.00,1668.00
SICL,2021-10-21,1656.00,1675.00,1640.00,1660.00
SICL,2021-10-20,1667.70,1729.90,1650.00,1655.00
SICL,2021-10-19,1656.00,1660.00,1615.00,1635.00
SICL,2021-10-18,1700.00,1720.00,1670.00,1689.00
SICL,2021-10-17,1754.00,1754.00,1700.00,1730.00
SICL,2021-10-11,1730.00,1732.10,1700.00,1720.00
SICL,2021-10-10,1820.00,1840.00,1745.00,1750.00
SICL,2021-10-06,1750.00,1800.00,1720.00,1800.00
SICL,2021-10-05,1694.90,1734.00,1652.00,1727.00
SICL,2021-10-04,1638.00,1684.00,1625.00,1662.00
SICL,2021-10-03,1692.00,1696.00,1646.00,1655.00
SICL,2021-09-30,1714.00,1720.00,1685.00,1692.00
SICL,2021-09-29,1658.00,1689.10,1640.00,1689.00
SICL,2021-09-28,1676.00,1690.00,1640.00,1659.90
SICL,2021-09-27,1755.00,1755.00,1692.00,1696.00
SICL,2021-09-26,1800.00,1800.00,1755.00,1755.00
SICL,2021-09-23,1815.00,1815.00,1781.00,1785.00
SICL,2021-09-22,1769.00,1800.00,1745.00,1780.00
SICL,2021-09-21,1705.00,1800.00,1667.00,1735.00
SICL,2021-09-20,1825.00,1825.00,1707.00,1725.00
SICL,2021-09-16,1841.50,1841.50,1788.50,1794.00
SICL,2021-09-15,1860.00,1875.00,1835.00,1845.00
SICL,2021-09-14,1875.00,1897.00,1845.00,1865.00
SICL,2021-09-13,1895.00,1895.00,1866.00,1875.00
SICL,2021-09-12,1875.00,1911.00,1844.00,1859.00
SICL,2021-09-09,1829.00,1865.00,1800.00,1840.00
SICL,2021-09-08,1868.00,1885.00,1825.00,1829.00
SICL,2021-09-07,1910.00,1945.00,1845.40,1889.00
SICL,2021-09-06,1820.00,1910.00,1800.00,1910.00
SICL,2021-09-05,1885.00,1885.00,1783.00,1811.50
SICL,2021-09-02,1914.00,1925.00,1880.00,1881.00
SICL,2021-09-01,1930.00,1951.00,1910.00,1911.00
SICL,2021-08-31,1960.00,1975.00,1930.00,1930.00
SICL,2021-08-29,2013.00,2015.00,1955.00,1956.00
SICL,2021-08-26,1995.00,2020.00,1975.00,1980.00
SICL,2021-08-25,2030.00,2030.00,1995.00,1995.00
SICL,2021-08-24,2068.00,2089.50,2029.00,2030.00
SICL,2021-08-19,1975.00,2086.00,1970.00,2028.00
SICL,2021-08-18,1982.00,2000.00,1979.00,1979.00
SICL,2021-08-17,2019.00,2019.00,1980.00,1982.00
SICL,2021-08-16,2035.00,2040.00,1996.00,1998.00
SICL,2021-08-15,2051.00,2060.00,2020.00,2025.00
SICL,2021-08-12,2057.00,2065.00,2046.00,2051.00
SICL,2021-08-11,2050.00,2063.00,2050.00,2057.00
SICL,2021-08-10,2045.00,2065.00,2034.00,2050.00
SICL,2021-08-09,2079.20,2079.20,2020.00,2040.00
SICL,2021-08-08,2074.00,2115.00,2027.00,2038.50
SICL,2021-08-05,2040.00,2052.00,2032.00,2041.00
SICL,2021-08-04,2075.00,2076.00,2036.00,2040.00
SICL,2021-08-03,2080.00,2080.00,2039.00,2042.00
SICL,2021-08-02,2089.00,2096.00,2040.00,2048.00
SICL,2021-08-01,2095.00,2099.00,2050.00,2055.00
SICL,2021-07-29,2142.00,2142.00,2080.00,2080.00
SICL,2021-07-28,2058.00,2109.80,2035.00,2100.00
SICL,2021-07-27,2034.00,2048.00,2024.00,2028.00
SICL,2021-07-26,2036.00,2060.00,2028.50,2035.00
SICL,2021-07-25,2060.00,2078.00,2020.00,2029.80
SICL,2021-07-22,2085.00,2088.00,2035.20,2040.00
SICL,2021-07-20,2094.90,2094.90,2039.00,2048.00
SICL,2021-07-19,2050.00,2094.00,2035.00,2062.90
SICL,2021-07-18,1980.00,2020.00,1970.00,2020.00
SICL,2021-07-15,1966.00,1975.00,1947.00,1952.00
SICL,2021-07-14,1975.00,1985.00,1950.00,1963.00
SICL,2021-07-13,1970.00,2000.00,1950.00,1955.00
SICL,2021-07-12,2000.00,2020.00,1950.00,1969.00
SICL,2021-07-11,2000.00,2000.00,1945.00,1989.00
SICL,2021-07-08,1940.00,1950.00,1925.00,1932.00
SICL,2021-07-07,1960.00,1960.00,1928.00,1935.00
SICL,2021-07-06,1961.00,1980.00,1950.00,1960.00
SICL,2021-07-05,2015.00,2015.00,1945.00,1960.00
