CompanyId,NepseId,Company,Symbol,Sector
596,2790,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,ACLBSL,Microfinance
259,2845,Adhikhola Laghubitta Bittiya Sanstha Limited,AKBSL,Microfinance
2,397,Agriculture Development Bank Limited,ADBL,Commercial Banks
583,2893,Ajod Insurance Limited,AIL,Non Life Insurance
151,2788,Ankhu Khola Jalvidhyut Company Ltd,AKJCL,Hydro Power
152,697,Api Power Company Ltd.,API,Hydro Power
153,2757,Arun Kabeli Power Ltd.,AKPL,Hydro Power
154,360,Arun Valley Hydropower Development Co. Ltd.,AHPC,Hydro Power
261,2807,Asha Laghubitta Bittiya Sanstha Ltd,ALBSL,Microfinance
243,385,Asian Life Insurance Co. Limited,ALICL,Life Insurance
3,138,Bank of Kathmandu Ltd.,BOKL,Commercial Banks
155,686,Barun Hydropower Co. Ltd.,BARUN,Hydro Power
108,227,Best Finance Company Ltd.,BFC,Finance
234,156,Bishal Bazar Company Limited,BBC,Tradings
237,195,Bottlers Nepal (Balaju) Limited,BNL,Manufacturing and Processing
236,213,Bottlers Nepal (Terai) Limited,BNT,Manufacturing and Processing
683,0,Buddha Bhumi Nepal Hydropower Company Limited,BNHC,Hydro Power
156,153,Butwal Power Company Limited,BPCL,Hydro Power
727,0,CEDB Hydropower Development Co. Ltd.,CHDC,Investment
112,245,Central Finance Co. Ltd.,CFCL,Finance
5,605,Century Commercial Bank Ltd.,CCBL,Commercial Banks
620,0,Chandragiri Hills Limited,CGH,Hotels and Tourism
265,164,Chhimek Laghubitta Bikas Bank Limited,CBBL,Microfinance
157,2766,Chhyangdi Hydropower Ltd.,CHL,Hydro Power
158,154,Chilime Hydropower Company Limited,CHCL,Hydro Power
7,348,Citizen Bank International Limited,CZBIL,Commercial Banks
231,210,Citizen Investment Trust,CIT,Investment
9,532,Civil Bank Ltd,CBL,Commercial Banks
268,693,Civil Laghubitta Bittiya Sanstha Ltd.,CLBSL,Microfinance
54,450,Corporate Development Bank Limited,CORBL,Development Banks
269,166,Deprosc Laghubitta Bittiya Sanstha Limited,DDBL,Microfinance
744,0,Deurali lagubitta Bitiya Sanstha Limited,DLBSL,Microfinance
159,2754,Dibyashwori Hydropower Ltd.,DHPL,Hydro Power
780,0,Emerging Nepal Limited,ENL,Investment
11,137,Everest Bank Limited,EBL,Commercial Banks
201,181,Everest Insurance Co. Ltd.,EIC,Non Life Insurance
58,274,Excel Development Bank Ltd.,EDBL,Development Banks
271,490,First Micro Finance Development Bank Ltd.,FMDBL,Microfinance
273,2758,Forward Community Microfinance Bittiya Sanstha Ltd.,FOWAD,Microfinance
275,2815,Ganapati Laghubitta Bittiya Sanstha Limited,GMFBS,Microfinance
62,417,Garima Bikas Bank Limited,GBBL,Development Banks
609,2905,General Insurance Company Nepal Ltd,GIC,Non Life Insurance
160,2806,Ghalemdi Hydro Limited,GHL,Hydro Power
13,341,Global IME Bank Limited,GBIME,Commercial Banks
280,705,Global IME Laghubitta Bittiya Sanstha Ltd.,GILB,Microfinance
116,232,Goodwill Finance Co. Ltd.,GFCL,Finance
281,583,Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,GBLBS,Microfinance
64,2744,Green Development Bank Ltd.,GRDBL,Development Banks
579,0,Greenlife Hydropower Limited,GLH,Hydro Power
118,263,Guheshowori Merchant Bank & Finance Co. Ltd.,GMFIL,Finance
284,2826,Gurans Laghubitta Bittiya Sanstha Limited,GLBSL,Microfinance
245,447,Gurans Life Insurance Company Ltd.,GLICL,Life Insurance
120,204,Gurkhas Finance Ltd.,GUFL,Finance
357,2880,Himal Dolakha Hydropower Company Limited,HDHPC,Hydro Power
161,2824,Himalaya Urja Bikas Company Limited,HURJA,Hydro Power
15,134,Himalayan Bank Limited,HBL,Commercial Banks
238,235,Himalayan Distillery Limited,HDL,Manufacturing and Processing
203,179,Himalayan General Insurance Co. Ltd,HGI,Non Life Insurance
162,2767,Himalayan Power Partner Ltd.,HPPL,Hydro Power
232,2742,Hydorelectricity Investment and Development Company Ltd,HIDCL,Investment
122,273,ICFC Finance Limited,ICFC,Finance
205,186,IME General Insurance Ltd.,IGI,Non Life Insurance
285,2832,Infinity Laghubitta Bittiya Sanstha Limited,ILBS,Microfinance
779,0,Jalpa Samudayik Laghubitta Bittiya Sanstha Limited,JALPA,Microfinance
124,250,Janaki Finance Ltd.,JFL,Finance
288,695,Janautthan Samudayic Laghubitta Bikas Bank Ltd.,JSLBB,Microfinance
695,0,Jeevan Bikas Laghubitta Bittiya Sanstha Limited,JBLB,Microfinance
163,2789,Joshi Hydropower Development Company Ltd,JOSHI,Hydro Power
66,418,Jyoti Bikas Bank Limited,JBBL,Development Banks
692,0,Jyoti Life Insurance Company Ltd,JLI,Life Insurance
289,593,Kalika Microcredit Development Bank Ltd.,KMCDB,Microfinance
164,2787,Kalika power Company Ltd,KPCL,Hydro Power
70,459,Kamana Sewa Bikas Bank Limited,KSBBL,Development Banks
76,428,Karnali Development Bank Limited,KRBL,Development Banks
165,2751,Khanikhola Hydropower Co. Ltd.,KKHC,Hydro Power
599,0,Kisan Lagubitta Bittiya Sanstha Limited [Former NRN Laghubitta Bittiya Sanstha Limited],KLBSL,Microfinance
19,142,Kumari Bank Limited,KBL,Commercial Banks
21,141,Laxmi Bank Limited,LBL,Commercial Banks
293,618,Laxmi Laghubitta Bittiya Sanstha Ltd.,LLBS,Microfinance
575,2903,Liberty Energy Company Limited,LEC,Hydro Power
247,188,Life Insurance Co. Nepal,LICN,Life Insurance
78,358,Lumbini Bikas Bank Ltd.,LBBL,Development Banks
207,190,Lumbini General Insurance Co. Ltd.,LGIL,Non Life Insurance
23,140,Machhapuchhre Bank Limited,MBL,Commercial Banks
731,0,Madhya Bhotekoshi Jalavidyut Company Limited,MBJC,Hydro Power
80,401,Mahalaxmi Bikas Bank Ltd.,MLBL,Development Banks
717,0,Mahila Laghubitta Bittiya Sanstha,MLBSL,Microfinance
297,2768,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,MSLB,Microfinance
581,0,Mailung Khola Jal Vidhyut Company Limited,MKJC,Hydro Power
696,0,Manakamana Smart Laghubitta Bittiya Sanstha Limited,MKLB,Microfinance
763,0,Manakamana Smart Laghubitta Bittiya Sanstha Limited Promoter,MKLBP,Microfinance
128,516,Manjushree Finance Ltd.,MFIL,Finance
759,0,Manushi Laghubitta Bittiya Sanstha Limited,MLBS,Microfinance
25,562,Mega Bank Nepal Ltd.,MEGA,Commercial Banks
299,1741,Mero Microfinance Bittiya Sanstha Ltd.,MERO,Microfinance
301,682,Mirmire Microfinance Development Bank Ltd.,MMFDB,Microfinance
82,371,Miteri Development Bank Limited,MDB,Development Banks
303,601,Mithila LaghuBitta Bittiya Sanstha Limited,MLBBL,Microfinance
611,0,Mountain Energy Nepal Limited,MEN,Hydro Power
166,2811,Mountain Hydro Nepal Limited,MHNL,Hydro Power
84,474,Muktinath Bikas Bank Ltd.,MNBBL,Development Banks
131,471,Multipurpose Finance Company Limited,MPFL,Finance
27,131,Nabil Bank Limited,NABIL,Commercial Banks
305,2784,Nadep Laghubittiya bittya Sanstha Ltd.,NADEP,Microfinance
412,172,Narayani Development Bank Limited,NABBC,Development Banks
167,152,National Hydro Power Company Limited,NHPC,Hydro Power
249,178,National Life Insurance Co. Ltd.,NLICL,Life Insurance
